タイムスタンプ,メールアドレス,規約への同意,申請者の学籍番号,申請者の氏名,申請者の学生証写真,共同利用者の有無,共同利用者の学籍番号,共同利用者の氏名,階数希望選択（共同利用者なし）,階数希望選択（共同利用者あり）,結果
2026-04-01 00:41:57,chiyo93@example.com,利用規約に同意する,4654293,藤田 治,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,4階,,S0
2026-04-01 00:47:39,suzukiryosuke@example.org,利用規約に同意する,1588184,木村 学,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,6階,,E3
2026-04-01 00:55:10,kazuya69@example.net,利用規約に同意する,1556822,吉田 結衣,accept,共同利用者あり,4162071,中村 稔,,5階,S0
2026-04-01 00:55:15,lmaeda@example.com,利用規約に同意する,4659510,山本 七夏,accept,共同利用者あり,1530340,坂本 幹,,3階,E3
2026-04-01 00:58:40,qendo@example.net,利用規約に同意する,8283616,前田 真綾,accept,共同利用者あり,1556973,後藤 和也,,5階,S0
2026-04-01 01:51:39,suzukiryosuke@example.org,利用規約に同意する,1588184,木村 学,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,4階,,E3
2026-04-01 01:55:36,nwatanabe@example.com,利用規約に同意する,4103442,中川 里佳,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,5階,,S0
2026-04-01 02:05:50,shohei08@example.org,利用規約に同意する,4565771,小林 健一,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,4階,,S0
2026-04-01 02:09:13,kimuramituru@example.net,利用規約に同意する,4277993,福田 加奈,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,4階,,E3
2026-04-01 02:24:12,otamikako@example.com,利用規約に同意する,8311945,青木 太郎,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,4階,,S0
2026-04-01 02:31:18,shota97@example.com,利用規約に同意する,8535179,田中 翔太,denied,共同利用者なし (2階・3階のロッカーは使用できません),,,6階,,E1
2026-04-01 02:31:36,abekaori@example.net,利用規約に同意する,4530886,小林 明美,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,5階,,S0
2026-04-01 02:42:25,momoko41@example.org,利用規約に同意する,8623022,前田 香織,accept,共同利用者あり,4163277,森 稔,,2階,S0
2026-04-01 02:55:16,suzukinaoto@example.net,利用規約に同意する,1511813,中村 裕樹,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,4階,,S0
2026-04-01 03:11:10,amatsumoto@example.org,利用規約に同意する,4525203,田中 香織,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,4階,,E3
2026-04-01 03:20:59,akemi03@example.com,利用規約に同意する,1524530,渡辺 学,accept,共同利用者あり,8601257,山下 治,,5階,E3
2026-04-01 03:25:54,rei38@example.org,利用規約に同意する,2032044,岡田 太郎,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,4階,,E1
2026-04-01 03:50:15,mai90@example.org,利用規約に同意する,4183318,岡本 真綾,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,5階,,S0
2026-04-01 04:13:49,qnakajima@example.org,利用規約に同意する,8410084,佐藤 香織,denied,共同利用者なし (2階・3階のロッカーは使用できません),,,5階,,E1
2026-04-01 04:40:59,akemi03@example.com,利用規約に同意する,1524530,渡辺 学,accept,共同利用者あり,8601257,山下 治,,4階,E3
2026-04-01 04:43:47,myamaguchi@example.net,利用規約に同意する,1592013,高橋 里佳,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,5階,,S0
2026-04-01 04:51:18,minorutakahashi@example.com,利用規約に同意する,4698059,中川 裕樹,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,6階,,S0
2026-04-01 04:51:19,haruka78@example.net,利用規約に同意する,4161824,太田 聡太郎,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,6階,,E3
2026-04-01 04:54:15,wwatanabe@example.net,利用規約に同意する,1530021,高橋 拓真,accept,共同利用者なし (2階・3階のロッカーは使用できません),,,4階,,S0
